多遗憾啊！	Too bad.
我做不到。	I can't.
为什么不？	Why not?
不好意思……	Sorry...
欢迎光临！	Welcome.
欢迎您来！	Welcome.
帮我一下。	Help me.
我很难过。	I'm sad.
我走了啊。	I'll go.
我生病了。	I'm ill.
我是同志。	I'm gay.
我们知道。	We know.
他辞职了。	He quit.
振奋起来！	Chin up!
哇啊啊啊⋯	Waaaa...
联系我们。	Call us.
去问汤姆。	Ask Tom.
找到汤姆。	Get Tom.
让我看看。	Show me.
我很害羞。	I'm shy.
去打汤姆。	Hit Tom.
抱抱汤姆！	Hug Tom.
我出门了。	I'm off.
请爱我吧。	Love me!
欢迎你们！	Welcome!
再来一个！	Another!
我们死了。	We died.
繼續前進。	Move on.
玫瑰花蕾。	Rosebud.
我无所谓。	Whatever.
俺不中嘞。	I'm beat.
放过我吧。	Spare me.
我在家裡。	I'm home.
我该走了。	Gotta go.
多可爱啊！	How cute!
我吃飽了。	I'm full.
我也不是。	Nor am I.
举起手来！	Hands up!
手举起来。	Hands up!
全都好嗎？	All good?
不可理喻	Nonsense!
他来试试。	He tries.
他在看书。	He reads.
我得走了。	Gotta go.
你去死吧!	Fuck you!
肏你妈屄！	Fuck you!
我吃饱了！	I'm full!
我个子高。	I'm tall.
我迷失了。	I'm lost.
我回来了。	I'm back.
我回来了！	I'm back.
我们同意。	We agree.
毋庸置疑。	No doubt.
把它挡住。	Block it!
可怜的猫。	Poor cat.
往后退点。	Back off.
他开口了。	He spoke.
他说话了。	He spoke.
他们赢了。	They won.
我自由了！	I'm free!
试试这个。	Try this.
把他铐上。	Cuff him.
请用这个。	Use this.
抓住汤姆。	Grab Tom.
汤姆输了。	Tom lost.
告訴湯姆。	Tell Tom.
怎么会呢？	How come?
你想得美！	You wish!
我做到了！	I did it.
他知道的。	He knows.
哇，下雪了！	Ah! Snow!
试试看吧！	Try this!
继续做梦！	Dream on!
穿上衣服。	Dress up.
他们赢了！	They won!
把他杀了！	Kill him!
穿上衣服！	Dress up!
立即儲存！	Save now!
一切都好。	All good.
唉唷喂啊！	Whoopsie!
撒油那啦！	Sayonara!
一切都好！	All good!
你肯定吗？	Seriously?
不必在意。	Forget it.
当然是的。	Of course.
再試一次。	Try again.
再试一下。	Try again.
我很抱歉。	I'm sorry.
耐心等着。	Sit tight.
祝你好运。	Good luck.
这是对的。	It's true.
祝你好運！	Good luck!
太可怕了。	How awful!
请跟我来。	Follow me.
我是人类。	I'm human.
参见上文。	See above.
让我进去。	Let me in.
她试过了。	She tried.
她在行走。	She walks.
感谢上帝。	Thank God.
謝天謝地。	Thank God.
他生病了。	He is ill.
还有什么？	What else?
我看到丹。	I see Dan.
我很高兴。	I'm happy.
我是约翰。	I am John.
游戏结束。	Game over.
保持冷靜。	Stay calm.
跟我走吧！	Follow me!
我了解你。	I get you.
不要哭了。	Don't cry.
噢拜托了！	Oh please!
我很生气！	I'm angry!
我受伤了。	I am hurt.
躺着不动。	Lie still.
在这等着。	Wait here.
你不要死。	Don't die.
汤姆是谁？	Who's Tom?
这我知道！	I knew it!
我就知道！	I knew it!
抓住那个。	Grab that.
抓住这个。	Grab this.
我贏了嗎？	Did I win?
她们死了。	They died.
他们死了。	They died.
我在撒謊。	I'm lying.
湯姆要走。	Tom'll go.
它是食物。	It's food.
我是第一。	I'm first.
汤姆很好。	Tom is OK.
我看錯了。	I misread.
我很清醒。	I'm sober.
不好意思！	Excuse me!
他同意了。	He agreed.
我要游泳。	I'll swim.
他流口水。	He drools.
他回来了。	He's back.
时间到了。	Time's up.
汤姆睡了。	Tom slept.
我死了吗？	Am I dead?
待在家裡。	Stay home.
在这等着！	Wait here!
回答我们。	Answer us.
我是莉莉。	I am Lily.
基本上吧。	Basically.
现在就做！	Do it now!
我是胡安。	I am Juan.
一切正常！	All right!
你臭死了！	You stink!
我是瑪莉。	I am Mary.
王强是谁？	Who is 王强?
我很想你。	I miss you.
我想念你。	I miss you.
我好胖哦。	I'm so fat.
我想要你。	I want you.
我需要你。	I need you.
它是什么？	What is it?
让我试试。	Let me try.
好好学习。	Study hard.
你好，汤姆。	Hello, Tom.
我认识他。	I know him.
我喜欢茶。	I like tea.
我在哪裡？	Where am I?
我很孤單。	I'm lonely.
我羡慕他。	I envy him.
时间飞逝。	Time flies.
保持安静！	Keep quiet.
赶快回家。	Hurry home.
我喜欢他。	I like him.
忘記他吧。	Forget him.
他很高兴。	He's happy.
他让步了.	He gave in.
他很聪明。	He's smart.
让他进来。	Let him in.
把它填滿。	Fill it up.
木材可燃。	Wood burns.
嘿，放松点。	Hey, relax.
我可以爱。	I can love.
是真的吗？	Is it true?
我喜欢你。	I like you.
我喜欢你！	I like you.
我錯了嗎？	Am I wrong?
我认识她。	I know her.
上帝存在。	God exists.
不要擔心。	Don't fret.
跟著他走。	Follow him.
一路平安！	Bon voyage!
我个头矮。	I am short.
我受够了！	I'm fed up!
我想念他。	I miss him.
哦！真的嗎？	Oh! Really?
那是湿的。	That's wet.
这是谁啊？	Who's that?
我讨厌你。	I hate you.
无可奉告。	No comment.
不予置評。	No comment.
别多罗嗦。	Quiet down.
让我去死。	Let me die.
汤姆病了。	Tom's sick.
我很害怕。	I'm scared.
我在吃饭。	I'm eating.
在这里吗？	Is it here?
不要等待！	Don't wait.
洋裝不錯。	Nice dress.
禮服不錯。	Nice dress.
裙子不錯。	Nice dress.
哪裡哪裡！	Not at all!
我嫉妒她。	I envy her.
无意冒犯！	No offence!
放松点吧。	Just relax.
保持警惕。	Stay sharp.
你是同志。	You're gay.
去开房吧！	Get a room.
别理汤姆。	Ignore Tom.
我们笑了。	We laughed.
我不能走。	I can't go.
我走不了。	I can't go.
汤姆笑了。	Tom smiled.
他们同意.	They agree.
检查一下！	Check that.
我答应了。	I promised.
是晚上了。	It's night.
我很谦虚。	I'm humble.
汤姆害羞。	Tom is shy.
去洗洗吧。	Go wash up.
你滑雪嗎？	Do you ski?
我会做饭。	I can cook.
我们是谁？	Who are we?
我在床上。	I'm in bed.
噢，真的嗎?	Oh, really?
喝牛奶吧！	Drink milk!
他在这里。	He is here.
我洗澡了。	I showered.
我冲澡了。	I showered.
我很想你！	I miss you!
她工作了。	She worked.
你著陸了。	You landed.
我的天哪!	Oh, my God!
老天爷啊！	Oh, my God!
他逃掉了。	He escaped.
生活第一！	Life first!
赶紧去做！	Just do it!
我很獨特。	I'm unique.
四月到了。	It's April.
你跑步嗎？	Do you run?
全部上岸！	All ashore!
又要工作。	Work again.
他的口音！	His accent!
我们来了。	We've come.
他是工藤。	He is Kudo.
她是安娜。	She is Ana.
加不加醬？	More paste?
我要走了。	I'm leaving.
我很好奇。	I'm curious.
这不可能！	It can't be!
非常感谢！	Many thanks.
这是谁的？	Whose is it?
金钱万能。	Money talks.
你疯了吗？	Are you mad?
我觉得冷。	I feel cold.
太可惜了！	What a pity!
我不能说。	I can't say.
那是什么？	What's that?
我错了吗？	Was I wrong?
干活慢点。	Work slowly.
我太累了。	I'm done up.
我累极了。	I'm done up.
妈妈哭了。	Mummy cried.
是我错了。	It's my bad.
把它关掉。	Turn it off.
算我一个.	Count me in.
那是我的。	That's mine.
你很愚蠢。	You're dumb.
我该去吗?	Should I go?
我丟臉了。	I lost face.
我感謝你。	I thank you.
我是护士。	I'm a nurse.
我喜欢鱼。	I like fish.
我也去了。	I also went.
請勿觸摸。	Don't touch.
不许大叫。	Don't shout.
请勿折叠！	Do not fold!
他很強壯。	He's strong.
他睡着了。	He's asleep.
她在家吗?	Is she home?
我是华人。	I'm Chinese.
我喜欢猫。	I like cats.
这是什么？	What's this?
我开玩笑。	I am joking.
你喜欢吗 ?	You like it?
我搞错了。	I was wrong.
好。我同意。	OK. I agree.
我上网了。	I am online.
我信任你。	I trust you.
他喝醉了。	He is drunk.
我想错了。	I was wrong.
我退休了。	I'm retired.
她醒来了。	She woke up.
你知道吗？	Do you know?
汤姆胖了。	Tom got fat.
你做到啦！	You made it!
这是新的。	This is new.
我也是17岁。	I'm 17, too.
我在休息。	I'm resting.
芝麻开门！	Open Sesame!
不要恐慌！	Don't panic!
这很容易。	That's easy.
她咬了他。	She bit him.
她打了他。	She hit him.
赶上时髦	Get with it.
湯姆高興。	Tom's happy.
你吃面条。	Eat noodles.
我信任他。	I trust him.
我信赖他。	I trust him.
四处看看。	Look around.
我在读书。	I'm reading.
一言为定！	It's a deal!
由着你吧。	As you wish.
我讨厌雪。	I hate snow!
你能看吗？	Can you see?
汤姆醉了。	Tom's drunk.
继续努力。	Keep trying.
我在祈禱。	I'm praying.
你傷心嗎？	Are you sad?
我爱生命。	I love life.
我怎么了?	What'd I do?
我吃面包。	I eat bread.
不要担心！	Don't worry!
一边站着。	Stand aside.
湯姆累了。	Tom's tired.
湯姆錯了。	Tom's wrong.
他们拥抱。	They hugged.
我很放松。	I'm relaxed.
不要微笑。	Don't smile.
你在这里。	You're here.
你是我的。	You're mine.
再做一遍。	Do it again.
请看一看。	Have a look.
我翘课了。	I cut class.
我有时间。	I have time.
我读唇语。	I read lips.
我有消息。	I have news.
你做到了。	You made it.
你作弊了。	You cheated.
行，你赢了。	OK, you win.
好，算你贏。	OK, you win.
我好看嗎？	Am I pretty?
我讨厌鱼。	I hate fish.
他告诉她。	He told her.
你放弃了。	You gave up.
给我来仨。	Gimme three.
那是豆腐。	That's tofu.
她生病了。	She is sick.
我很乏味。	I am boring.
我討厭貓。	I hate cats.
你受伤了。	You're hurt.
您遠足嗎？	Do you hike?
祝好胃口！	Bon appétit!
我责备你。	I blame you.
出类拔萃！	Outstanding!
这是梳子。	It's a comb.
我讨厌酒。	I hate wine.
沒人在家？	Nobody home?
控制住她。	Control her.
可怜死了！	How pitiful!
它很獨特。	It's unique.
他嘲笑我。	He mocks me.
她逃掉了。	She escaped.
我是小雨。	I am Xiaoyu.
令人遺憾。	Regrettable.
你确定吗？	Are you sure?
我饿死了！	I'm starving!
我餓死了！	I'm starving!
我不会输！	I won't lose!
我冻死了。	I'm freezing.
你在撒谎。	You're lying.
祝你好梦。	Sweet dreams!
开车慢点。	Drive slowly.
一会儿见！	See you soon!
太神奇了。	It's amazing.
你喝醉了！	You're drunk.
你喝酒吗？	Do you drink?
欢迎回家。	Welcome home.
我欣赏你。	I admire you.
你忙不忙？	Are you busy?
您在忙吗？	Are you busy?
你很聰明。	You're sharp.
繼續工作！	Keep working.
我要告你。	I'll sue you.
你不去吗？	Won't you go?
我们是人。	We are human.
我好高興。	I'm so happy.
我是医生。	I'm a doctor.
我没在忙。	I'm not busy.
我也很好.	I'm fine too.
不要耍我！	Don't kid me!
难以置信！	Unbelievable!
難以置信!	Unbelievable!
我不知道。	I don't know.
夕阳西下。	The sun sets.
你没事吧？	Are you okay?
你真丢脸！	Shame on you!
我動不了。	I can't move.
他很勇敢。	He was brave.
他在吃饭。	He is eating.
带他进来。	Bring him in.
她出去了	She went out.
她认识我。	She knows me.
她很安静。	She is quiet.
保持微笑。	Keep smiling.
想要知道？	Want to know?
我怀孕了。	I'm pregnant.
不知道啊。	I don't know.
不要害羞。	Don't be shy.
你好，世界！	Hello, world!
他丢脸了。	He lost face.
她很漂亮。	She's pretty.
你是对的。	You're right.
你有道理。	You're right.
你说的对。	You're right.
我眼睛疼。	My eyes hurt.
我明白了。	I understand.
跟我们来。	Come with us.
你有空吗?	Are you free?
你同意吗?	Do you agree?
它太大了。	It's too big.
正在下雪。	It's snowing.
正在下雹。	It's hailing.
吸我𣬠𣬶。	Suck my dick.
带我回家。	Take me home.
这是冷的。	This is cold.
很好，谢谢。	Fine, thanks.
你吸烟吗?	Do you smoke?
你吸烟吗？	Do you smoke?
您吸烟吗？	Do you smoke?
他生气了。	He got angry.
他有辆车。	He has a car.
好浪漫啊！	How romantic!
我好累啊。	I'm so tired.
多丢人啊！	How shameful!
有人来了。	Someone came.
他胖乎乎。	He is chubby.
我非常胖。	I'm very fat.
我吃蘋果。	I eat apples.
她很強壯。	She's strong.
你在家吗	Are you home?
您在家吗	Are you home?
我冰死了。	I'm freezing!
你是只虫。	You're a bug.
你好烦人。	You're a bug.
我也不要。	Neither do I.
这不公平。	It is unfair.
他好高啊！	He's so tall!
你能走嗎？	Can you walk?
是木乃伊！	It's a mummy!
别来烦我。	Don't bug me.
汤姆瞎了。	Tom is blind.
我不确定。	I'm not sure.
欢迎回来。	Welcome back.
没人问过。	Nobody asked.
别再念了。	Stop reading.
她来了吗？	Has she come?
请笑一笑！	Please smile.
汤姆在吗？	Is Tom there?
好自大啊！	How arrogant!
谁想要它？	Who wants it?
我们拍拖。	We're dating.
我決定了。	I've decided.
我在流血。	I'm bleeding.
我在睡觉。	I'm sleeping.
这是我的。	This is mine.
我叫了你。	I called you.
我幫忙了。	I helped out.
我有幫忙。	I helped out.
我爱音乐。	I love music.
我卖鞋子。	I sell shoes.
我是朋友。	I'm a friend.
我没生病。	I'm not sick.
让我说吧。	Let me speak.
我吃芝士。	I eat cheese.
汤姆饱了。	Tom was full.
耶稣基督！	Jesus Christ!
我要一个。	I needed one.
我洗了澡。	I had a bath.
你回来了。	You returned.
这是豆腐。	This is tofu.
我處理了。	I handled it.
这里，现在。	Here and now.
汤姆跟着。	Tom followed.
我討厭她。	I detest her.
肉还是鱼？	Meat or fish?
我也哭了。	I cried, too.
汤姆还早。	Tom is early.
我知道了！	I understand!
我能理解！	I understand!
我是跑堂。	I'm a waiter.
你叫安娜。	You are Anna.
你是安娜。	You are Anna.
啊，我病了。	Oh, I'm sick.
你救了我。	You saved me.
三振出局！	Strike three!
有人走了。	Someone left.
下冰雹了！	It's hailing!
千万不要!	Please don't!
停止工作。	Stop working.
我独自玩。	I play alone.
我要箱子。	I want a box.
你滑冰嗎？	Do you skate?
我是明惠。	I am Minghui.
我的头疼。	My head aches.
你在哪儿?	Where are you?
你在哪裡？	Where are you?
您在哪裡？	Where are you?
你幸福吗？	Are you happy?
你开心吗？	Are you happy?
我相信你。	I believe you.
你来这里。	You come here.
你很漂亮.	You're pretty.
我累死了。	I'm exhausted.
我很疲惫。	I'm exhausted.
画一个圈。	Draw a circle.
柠檬很酸。	Lemon is sour.
你沒事嗎？	You all right?
我受够了。	I have had it.
欢迎再来。	Do come again.
湯姆缺席。	Tom is absent.
汤姆不在。	Tom is absent.
吃吧，喝吧。	Eat and drink.
我真的冷。	I'm very cold.
我不抽烟。	I don't smoke.
保持安静	Keep it quiet.
我感冒了。	I have a cold.
这是猫吗？	Is that a cat?
我会想你。	I'll miss you.
我在節食。	I'm on a diet.
不要管我。	Don't mind me.
坐我旁边。	Sit beside me.
我是老师。	I'm a teacher.
早日康复。	Get well soon.
它太大聲。	It's too loud.
谁帮帮她？	Who helps her?
不要放棄!	Don't give up!
改邪归正。	Straighten up.
他多大了？	How old is he?
他着凉了。	He has a cold.
他很生病。	He's very ill.
他是医生。	He's a doctor.
他在服役。	He is on duty.
他在读书。	He's studying.
她回家了。	She went home.
她是护士。	She's a nurse.
她在节食。	She's dieting.
你累了嗎?	Are you tired?
我睡不着。	I can't sleep.
保持聯絡！	Keep in touch!
我不工作.	I do not work.
他是李櫻。	He is Li Ying.
若天准许......	God willing...
和我握手。	Shake my hand.
公事公辦。	It's business.
我有了吗？	Am I pregnant?
这是日本。	Here is Japan.
我屁股痛。	My butt hurts.
我累坏了	I'm knackered.
你最好去。	You should go.
你该走了。	You should go.
我要买了。	I want to buy.
早日康復！	Get well soon!
不要恨我。	Don't hate me!
我的脚痛。	My foot hurts.
吸烟有害。	Smoking kills.
搅一下汤。	Stir the soup.
效果不错。	It works well.
他在家裡。	He is at home.
爸爸在哪？	Where's Daddy?
你醒了吗？	Are you awake?
汤姆错了。	Tom was wrong.
吃些火腿。	Have some ham.
在下雨吗？	Is it raining?
他不在家。	He's not home.
我喜欢马。	I like horses.
我原谅你。	I forgive you.
好巧妙啊。	That's clever.
别担心了。	Stop worrying.
叫保安来！	Call security!
别再插手。	Stop meddling.
我必须赢。	I have to win.
我爱秋天。	I love autumn.
量力而行。	Pace yourself.
不要失礼。	Don't be rude.
这是错的。	This is wrong.
我们明白。	We understand.
不是我的。	It's not mine.
停止射击。	Stop shooting.
我踢足球。	I play soccer.
汤姆鼓掌。	Tom applauded.
累死我啦！	I'm exhausted!
你不是我。	You're not me.
